id,name,sponsor,event,venue,place,physical_description,occasion,notes,call_number,date,location,currency,currency_symbol,status,page_count,dish_count,parsed_data,dimensions
27101,,SOUTHERN PACIFIC,DINNER,RAILROAD,"COASTER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Hotel Playa De Cortes. Manager : Harry A. Butler. Insert : ""Economy Plate Dinner.""",Soete 108,1941-01-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,120.0,ILL. COL.,ILL. COL.
27102,,SOUTHERN RAILWAY SYSTEM,LUNCH,RAILROAD,,11 X 7 IN. ; ILL.,,"Event : Southern College Football Games. Advertisements : Pabst Blue Ribbon Beer, Hotel Edison, The Hotel Raleigh, S & W Cafeterias, Dinkler Hotels. Manager Dining Cars : W. F. Kusch.",Soete 181,,Southern Railway System,,,complete,3,0.0,ILL.,ILL.
27103,,SOUTHERN RAILWAY SYSTEM,DINNER,RAILROAD,,11 X 7 IN. ; ILL.,,"Event : Southern College Football Games. Advertisements : Pabst Blue Ribbon Beer, Hotel Edison, The Hotel Raleigh, S & W Cafeterias, Dinkler Hotels. Manager Dining Cars : W. F. Kusch.",Soete 182,1939-11-01T00:00:00Z,Southern Railway System,Dollars,$,complete,3,98.0,ILL.,ILL.
27104,,PENNSYLVANIA RAILROAD,DAILY MENU,RAILROAD,,5 X 3 1/2 IN. FOLD.,,"Title : ""It pays to dine early...or late!"" Pamphlet promotes low-coast menus for off-hours dining.",Soete 208,1937-12-27T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,3,15.0,5 X 3 1/2 IN. FOLD.,5 X 3 1/2 IN. FOLD.
27105,,PENNSYLVANIA RAILROAD,LUNCH,RAILROAD,,11 X 7 IN.,,"General Superintendent, Dining Car Service : John F. Finnegan. Advertisement for The Luxury Fleet on verso.",Soete 229,,Pennsylvania Railroad,Dollars,$,complete,2,78.0,11 X 7 IN.,11 X 7 IN.
27106,,"NEW YORK CENTRAL SYSTEM, THE NEW STREAMLINED 20TH CENTURY LIMITED",BREAKFAST,RAILROAD,,9 X 6 IN. FOLD. ; ILL.,,Manager Dining Services : B. J. Bohlender. Promotes : National Apple Week and Yam Week.,Soete 174,,"New York Central System, The New Streamlined 20th Century Limited",Dollars,$,complete,3,92.0,ILL.,ILL.
27107,,SOUTHERN PACIFIC,DINNER,RAILROAD,SOUTHERN PACIFIC,8 1/2 X 5 1/2 IN. FOLD. ; ILL.,,"Event : 1941 Islam Temple Grand De Luxe Land Cruise to Mexico. Illustration : Hotel Playa de Cortes, The Desert Resort By the Sea. Illustrious potentate : Henry F. Boyen.",Soete 16,1941-09-20T00:00:00Z,Southern Pacific,,,complete,4,16.0,ILL.,ILL.
27108,,THE SAN FRANCISCO STOCK EXCHANGE,DINNER,HOTEL,HOTEL ST. FRANCIS,7 1/2 X 4 1/2 IN. FOLD.,,Host : Victor T. Lewin.,Soete 39,1934-02-03T00:00:00Z,The San Francisco Stock Exchange,,,complete,2,9.0,7 1/2 X 4 1/2 IN. FOLD.,7 1/2 X 4 1/2 IN. FOLD.
27109,,NATIONAL PARLOR NO. 118,DINNER,HOTEL,FAIRMONT HOTEL,4 1/2 X 3 1/2 IN. FOLD.,ANNIVERSARY,Event : Commemorating Sixtieth Anniversary of Admission to California into the Union.,Soete 47,1910-09-08T00:00:00Z,National Parlor No. 118,,,complete,2,17.0,4 1/2 X 3 1/2 IN. FOLD.,4 1/2 X 3 1/2 IN. FOLD.
27110,,HOTEL DEL MONTE,DINNER,HOTEL,HOTEL DEL MONTE,5 1/2 X 3 1/2 IN. ; COL. ILL.,,,Soete 53,1880-09-15T00:00:00Z,Hotel Del Monte,,,complete,2,24.0,COL. ILL.,COL. ILL.
27111,,NEW SHANGHAI,DAILY MENU,RESTAURANT,NEW SHANGHAI,9 1/2 X 6 IN. FOLD. ; ILL. COL.,,Chinese restaurant menu. Includes Chinese and American menus.,Soete 74,,New Shanghai,Dollars,$,complete,3,148.0,ILL. COL.,ILL. COL.
27112,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Mission San Xavier Near Tuscon. Manager : Harry A. Butler Advertisement : ""See California's Exposition on Treasure Island."" Includes ""Select"" and a la carte menu options.",Soete 95,1940-01-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,120.0,ILL. COL.,ILL. COL.
27113,,SOUTHERN PACIFIC,LUNCH,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Southern Arizona Desert. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options.",Soete 100,1942-01-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,101.0,ILL. COL.,ILL. COL.
27114,,"NEW YORK CENTRAL SYSTEM, BOSTON & ALBANY RAILROAD",DAILY MENU,RAILROAD,,9 X 6 1/2 IN. FOLD. ; ILL.,,"Illustration : ""New England States."" Manager Dining Service : B. J. Bohlender.",Soete 190,1939-11-15T00:00:00Z,"New York Central System, Boston & Albany Railroad",Dollars,$,complete,3,157.0,ILL.,ILL.
27115,,"SALVATORE ""SAL"" PABLO LUCIA",,,,,COMPLIMENTARY/TESTIMONIAL,"Collection of items relating to dinners in honor of, and attended by, Salvatore Pablo Lucia. Includes several menus, illustration, personal notes, and autographs.",Soete 192,1935-01-01T00:00:00Z,"Salvatore ""sal"" Pablo Lucia",,,complete,28,17.0,,
27116,,TAO TAO RESTAURANT,DAILY MENU,RESTAURANT,TAO TAO RESTAURANT,9 X 5 1/2 IN. FOLD.,,"Inscribed : ""a velly delightful dinner."" Includes several autographs and insert with chinese characters.",Soete 79,,Tao Tao Restaurant,Dollars,$,complete,20,308.0,9 X 5 1/2 IN. FOLD.,9 X 5 1/2 IN. FOLD.
27117,,TAO YUAN RESTAURANT,DAILY MENU,RESTAURANT,TAO YUAN RESTAURANT,9 X 5 1/2 IN. FOLD.,,Includes insert of printed Chinese characters.,Soete 80,1939-01-01T00:00:00Z,Tao Yuan Restaurant,Dollars,$,complete,19,305.0,9 X 5 1/2 IN. FOLD.,9 X 5 1/2 IN. FOLD.
27118,,CATHAY HOUSE,DAILY MENU,RESTAURANT,CATHAY HOUSE,11 1/2 X 9 IN. FOLD. ; ILL.,,"Includes insert : ""Wines and Cocktails."" Cover design : Don Clever. Add. author : Bill Simons.",Soete 81,,Cathay House,Dollars,$,complete,5,260.0,ILL.,ILL.
27119,,OSCAR'S CONFUCIUS CAFE,DAILY MENU,RESTAURANT,OSCAR'S CONFUCIUS CAFE,11 1/2 X 9 IN. FOLD. ; ILL.,,,Soete 82,,Oscar's Confucius Cafe,Dollars,$,complete,1,129.0,ILL.,ILL.
27120,,GRANDVIEW GARDENS,DAILY MENU,RESTAURANT,GRANDVIEW GARDENS,12 1/2 X 9 1/2 IN. FOLD.,,Includes dinner suggestions and wine list for Laughing Buddha coctail room.,Soete 83,,Grandview Gardens,Dollars,$,complete,3,290.0,12 1/2 X 9 1/2 IN. FOLD.,12 1/2 X 9 1/2 IN. FOLD.
27121,,CHEW'S CAFE,DAILY MENU,RESTAURANT,CHEW'S CAFE,11 1/2 X 9 IN.,,Proprietor : Jack W. Chew Menu price alterations made in pen.,Soete 84,,Chew's Cafe,Dollars,$,complete,1,83.0,11 1/2 X 9 IN.,11 1/2 X 9 IN.
27122,,TZU HAI PIN CANTONESE RESTAURANT,DAILY MENU,RESTAURANT,TZU HAI PIN CANTONESE RESTAURANT,13 X 9 1/2 IN. FOLD. ; ILL.,,Printer : Martin Menu Printing Co. Includes wine list.,Soete 85,,Tzu Hai Pin Cantonese Restaurant,Dollars,$,complete,4,154.0,ILL.,ILL.
27123,,YEE HOP'S,DAILY MENU,RESTAURANT,YEE HOP'S,10 X 6 1/2 IN. ; ILL.,,"""To-day's 50c Super-Specials."" Illustration of restaurant.",Soete 86,1937-01-01T00:00:00Z,Yee Hop's,Dollars,$,complete,1,25.0,ILL.,ILL.
27124,,LITTLE CHINA,DAILY MENU,RESTAURANT,LITTLE CHINA,10 X 6 1/2 IN. ; ILL.,,"""Specializing in Real Chinese and American Foods."" Includes two inserts : take-out menu and daily specials.",Soete 87,1938-01-01T00:00:00Z,Little China,Dollars,$,complete,6,291.0,ILL.,ILL.
27125,,THE CHINESE RATHSKELLER,DAILY MENU,RESTAURANT,THE CHINESE RATHSKELLER,10 X 6 1/2 IN. ; ILL.,,"Includes insert : ""Chinese Dinner.""",Soete 88,,The Chinese Rathskeller,Dollars,$,complete,7,409.0,ILL.,ILL.
27127,,FISHERMAN'S GROTTO,,RESTAURANT,FISHERMAN'S GROTTO,4 X 2 1/2 IN. ; ILL. COL.,,Recipe book from restaurant Fisherman's Grotto.  Includes illustrations of restaurant interiors and views.,Soete 77,,Fisherman's Grotto,,,complete,16,6.0,ILL. COL.,ILL. COL.
27128,,SOUTHERN PACIFIC,LUNCH,RAILROAD,"THE BEAVER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Mission San Xavier Near Tuscon. Manager : Harry A. Butler Insert : ""Economy Plate Luncheon."" Includes ""Special Suggestions"" and a la carte menu options.",Soete 96,1941-11-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,117.0,ILL. COL.,ILL. COL.
27129,,SOUTHERN PACIFIC,DINNER,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Southern Arizona Desert. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Advertisement : Al Malaikah Temple.",Soete 97,,Southern Pacific,Dollars,$,complete,3,115.0,ILL. COL.,ILL. COL.
27130,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"THE BEAVER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Mile-High Lake Tahoe. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options. Insert : ""Economy Breakfast.""",Soete 101,1941-11-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,92.0,ILL. COL.,ILL. COL.
27131,,SOUTHERN PACIFIC,DINNER,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Carlsbad Caverns National Park. Manager : Harry A. Butler Includes ""Select"" and a la carte menu options.",Soete 102,1941-07-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,124.0,ILL. COL.,ILL. COL.
27132,,SOUTHERN PACIFIC,DINNER,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : The Old French Quarter in New Orleans. Manager : G. A. Cameron. Includes ""Select"" and a la carte menu options.",Soete 103,1943-10-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,42.0,ILL. COL.,ILL. COL.
27133,,SOUTHERN PACIFIC,DINNER,RAILROAD,"THE SAN FRANCISCO CHALLENGER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Crater Lake National Park. Manager : Harry A. Butler. Insert : ""Economy Plate Dinner.""",Soete 105,1942-07-01T00:00:00Z,Southern Pacific,Dollars,$,under review,4,114.0,ILL. COL.,ILL. COL.
27134,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"THE BEAVER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Hotel Playa De Cortes. Manager : Harry A. Butler. Insert : ""Economy Breakfast.""",Soete 107,1941-07-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,113.0,ILL. COL.,ILL. COL.
27135,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"DINING CAR, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,Photographic illustration : Sunken Gardens in Brackenridge Park. Manager : Harry A. Butler. Advertisement: Al Malaikah Temple.,Soete 109,,Southern Pacific,Dollars,$,complete,3,116.0,ILL. COL.,ILL. COL.
27136,,SOUTHERN PACIFIC,BREAKFAST,RAILROAD,"THE BEAVER, SOUTHERN PACIFIC",8 1/2 X 5 1/2 IN. FOLD. ; ILL. COL.,,"Photographic illustration : Sunken Gardens in Brackenridge Park. Manager : Harry A. Butler. Insert ; ""Economy Breakfast.""",Soete 110,1941-11-01T00:00:00Z,Southern Pacific,Dollars,$,complete,4,127.0,ILL. COL.,ILL. COL.
27137,,UKNOWN,DAILY MENU,"FOREIGN,RAILROAD",CHINA,7 X 5 IN. FOLD. ; ILL.,,"Menu primarily in Chinese characters, with names of dishes translated in English.",Soete 113,,Unknown,,,complete,3,15.0,ILL.,ILL.
27139,,UNKNOWN,DINNER,,UNKNOWN,7 X 4 IN.,,,Soete 118,1938-09-17T00:00:00Z,Unknown,,,complete,1,11.0,7 X 4 IN.,7 X 4 IN.
27140,,UNKNOWN,DINNER,,UNKNOWN,7 X 4 IN.,,,Soete 119,1938-09-22T00:00:00Z,Unknown,,,complete,1,10.0,7 X 4 IN.,7 X 4 IN.
27141,,UNKNOWN,DINNER,,UNKNOWN,8 X 5 IN.,,,Soete 121,1939-01-20T00:00:00Z,Unknown,,,complete,1,30.0,8 X 5 IN.,8 X 5 IN.
27142,,BOSTON & ALBANY RAILROAD,DAILY MENU,RAILROAD,"DINING CAR, BOSTON & ALBANY RAILROAD",9 X 6 IN.,,Supt. Dining Service : A. E. Yarlott. A la carte menu.,Soete 122,1939-01-01T00:00:00Z,Boston & Albany Railroad,Dollars,$,complete,1,116.0,9 X 6 IN.,9 X 6 IN.
27143,,NEW YORK CENTRAL SYSTEM,DINNER,RAILROAD,"DINING CAR, NEW YORK CENTRAL SYSTEM",9 X 6 IN.,,"Manager Dining Service : B. J. Bohlender. ""St. Mary's College - Fordham Football Tour.""",Soete 123,1940-10-23T00:00:00Z,New York Central System,,,complete,1,16.0,9 X 6 IN.,9 X 6 IN.
27144,,THE MILWAUKEE ROAD,BREAKFAST,RAILROAD,"DINING CAR, THE MILWAUKEE ROAD",10 X 7 IN. FOLD. ; ILL.,,"Photographic illustration : Harbor at LaPush, Wash[ington], Olympic Peninsula. Includes ""Club Breakfast"" combination options. Superintendent Dining Cars : Wm. Dolphin. Passenger Traffic Manager : F. N. Hicks.",Soete 126,1938-01-01T00:00:00Z,The Milwaukee Road,Dollars,$,complete,4,172.0,ILL.,ILL.
27145,,THE CASCADE,LUNCH,RAILROAD,DINER NO. 10106,7 1/2 X 5 IN.,,Steward : H. S. Perkins,Soete 127,,The Cascade,Dollars,$,complete,1,50.0,7 1/2 X 5 IN.,7 1/2 X 5 IN.
27146,,SEABOARD RAILWAY,BREAKFAST,RAILROAD,,7 1/2 X 5 IN.,,"Features : ""Low Priced Meal Service.""",Soete 129,,Seaboard Railway,Dollars,$,complete,1,12.0,7 1/2 X 5 IN.,7 1/2 X 5 IN.
27147,,SEABOARD RAILWAY,LUNCH AND DINNER,RAILROAD,,7 1/2 X 5 IN.,,"Features : ""Low Priced Meal Service.""",Soete 130,,Seaboard Railway,,,complete,1,6.0,7 1/2 X 5 IN.,7 1/2 X 5 IN.
27148,,FRED HARVEY,BREAKFAST,RESTAURANT,UNION STATION,10 1/2 X 7 IN. FOLD. ; ILL.,,Includes list of departments.,Soete 131,1938-06-15T00:00:00Z,Fred Harvey,Dollars,$,complete,4,157.0,ILL.,ILL.
27149,,UNKNOWN,BREAKFAST,RAILROAD,,10 1/2 X 7 IN. ; ILL. COL.,,"Superintendent : H. W. Quinlan. Printer : Ackerman Printing Co., Boston",Soete 132,1940-01-01T00:00:00Z,Unknown,Dollars,$,complete,4,125.0,ILL. COL.,ILL. COL.
27150,,THE STREAMLINER,DINNER,RAILROAD,,10 1/2 X 7 IN. FOLD. ; ILL.,,"Advertisement : ""Visit Sun Valley this year.""",Soete 134,1940-06-13T00:00:00Z,The Streamliner,Dollars,$,complete,3,93.0,ILL.,ILL.
27151,,THE SAN DIEGAN,DAILY MENU,RAILROAD,L. T. CAR 1500,9 X 6 IN. FOLD. ; ILL.,,Santa Fe Dining Car Service : Fred Harvey. Enclosed : a la carte daily specials. Steward : E. Pettebone.,Soete 136,,The San Diegan,Dollars,$,complete,5,101.0,ILL.,ILL.
27152,,THE NEW HAVEN R. R. [RAILROAD],TEA MENU,RAILROAD,,5 X 6 IN. FOLD. ; ILL.,,,Soete 139,1941-01-01T00:00:00Z,The New Haven R. R. [railroad],Dollars,$,under review,4,21.0,ILL.,ILL.
27153,,THE STREAMLINER,BREAKFAST,RAILROAD,,11 X 7 IN. ; ILL.,,Includes numbered menu options and notice from Office of Price Administration.,Soete 144,1944-06-15T00:00:00Z,The Streamliner,,,complete,1,25.0,ILL.,ILL.
27154,,B. F. KEITH'S PALACE THEATRE,,"OTHER,THEATER",,8 X 5 1/2 IN.,,Theater program only. No menu attached.,Soete 148,,B. F. Keith's Palace Theatre,,,complete,4,0.0,8 X 5 1/2 IN.,8 X 5 1/2 IN.
27155,,SANTA FE FRED HARVEY,WINE LIST,RAILROAD,,8 X 5 IN.,,,Soete 151,1941-10-09T00:00:00Z,Santa Fe Fred Harvey,Dollars,$,complete,4,48.0,8 X 5 IN.,8 X 5 IN.
27156,,"THE CALIFORNIA LIMITED, FRED HARVEY",DINNER,RAILROAD,DINING CAR,9 X 6 IN. FOLD.,,,Soete 155,,"The California Limited, Fred Harvey",Dollars,$,complete,3,80.0,9 X 6 IN. FOLD.,9 X 6 IN. FOLD.
27157,,"THE CALIFORNIA LIMITED, FRED HARVEY",DINNER,RAILROAD,DINING CAR,9 X 6 IN. FOLD.,,Includes a la carte and table d'hote menu options.,Soete 157,,"The California Limited, Fred Harvey",Dollars,$,complete,3,81.0,9 X 6 IN. FOLD.,9 X 6 IN. FOLD.
27158,,"SAN DIEGAN, FRED HARVEY",LUNCH,RAILROAD,,9 X 6 IN. FOLD.,,"Includes a la carte and table d'hote menu options. Insert : ""A la carte specials.""",Soete 159,1941-09-22T00:00:00Z,"San Diegan, Fred Harvey",Dollars,$,complete,5,106.0,9 X 6 IN. FOLD.,9 X 6 IN. FOLD.
27159,,"CHICAGOAN, KANSAS CITYAN",LUNCH,RAILROAD,"DINING CAR, FRED HARVEY",9 X 6 IN.,,"Includes a la carte and table d'hote menu options.  Insert : Specials, dated Nov. 16 1941. Steward : Ted Kastner.",Soete 162,1941-11-16T00:00:00Z,"Chicagoan, Kansas Cityan",Dollars,$,complete,5,100.0,9 X 6 IN.,9 X 6 IN.
27160,,NEW YORK CENTRAL SYSTEM,BREAKFAST,RAILROAD,,9 X 6 IN. FOLD. ; ILL.,,"Manager Dining Service : B. H. Bohlender. Illustration : ""The Captivating New England Shores from a Painting by Leslie Ragan.""",Soete 164,,New York Central System,Dollars,$,complete,3,146.0,ILL.,ILL.
27161,,NEW YORK CENTRAL SYSTEM,BREAKFAST,RAILROAD,,9 X 6 IN. FOLD. ; ILL.,,"Manager Dining Service : B. H. Bohlender. Illustration : ""The Captivating New England Shores from a Painting by Leslie Ragan.""",Soete 165,1939-01-01T00:00:00Z,New York Central System,Dollars,$,complete,3,122.0,ILL.,ILL.
27162,,NEW YORK CENTRAL SYSTEM,DAILY MENU,RAILROAD,,9 X 6 IN. FOLD. ; ILL.,,"Manager Dining Service : B. H. Bohlender. Illustration : ""The Captivating New England Shores from a Painting by Leslie Ragan.""",Soete 166,1939-01-01T00:00:00Z,New York Central System,Dollars,$,complete,3,90.0,ILL.,ILL.
27163,,WESTERN PACIFIC,BREAKFAST,RAILROAD,THE FEATHER RIVER ROUTE,9 X 6 1/2 IN. FOLD. ; ILL.,,General Passenger Agent : J. L Scott. Superintendent Dining Cars : W. P. Stiles.,Soete 176,1938-04-13T00:00:00Z,Western Pacific,Dollars,$,complete,4,78.0,ILL.,ILL.
27164,,NEW YORK CENTRAL SYSTEM,DINNER,RAILROAD,,10 X 6 1/2 IN. ; ILL.,,"Manager Dining Service : B. J. Bohlender. Ilustrations : Palisades of the Hudson, Majestic Niagara Falls, West Point - Hudson Highlands.",Soete 179,1940-10-23T00:00:00Z,New York Central System,,,complete,1,16.0,ILL.,ILL.
27165,,NEW YORK CENTRAL LINES,DAILY MENU,RAILROAD,,10 X 6 1/2 IN. ; ILL.,,"Manager Dining Service : J. R. Smart. Advertisement : New York Central Line's new fleet of ""5200"" class trains.",Soete 186,1927-01-01T00:00:00Z,New York Central Lines,Dollars,$,complete,2,139.0,ILL.,ILL.
27166,,"NEW YORK CENTRAL SYSTEM, BOSTON & ALBANY RAILROAD",DAILY MENU,RAILROAD,,10 X 7 IN. ; ILL.,,"Illustration : ""West bound through the Berkshires."" Supt. Dining Service : A. E. Yarlott.",Soete 189,,"New York Central System, Boston & Albany Railroad",Dollars,$,complete,1,77.0,ILL.,ILL.
27167,,"NORFOLK AND WESTERN RAILWAY, SOUTHERN RAILWAY SYSTEM",BREAKFAST,RAILROAD,,11 X 8 IN. ; ILL. COL.,,"Superintendent Dining Cars : J. W. Menefee. Includes ""breakfast combinations"" and a la carte menu options.",Soete 191,,"Norfolk And Western Railway, Southern Railway System",Dollars,$,complete,1,69.0,ILL. COL.,ILL. COL.
27168,,ALCATRAZ ISLAND,DINNER,,GENERAL MESS,8 1/2 X 5 1/2 IN. FOLD.,PATRIOTIC HOLIDAY,"Includes roster of attendees, musical programme and menu.",Soete 193,1927-07-04T00:00:00Z,Alcatraz Island,,,complete,4,15.0,8 1/2 X 5 1/2 IN. FOLD.,8 1/2 X 5 1/2 IN. FOLD.
27169,,ALCATRAZ ISLAND,DINNER,,GENERAL MESS,9 X 5 1/2 IN. FOLD. ; ILL.,NATIONAL EVENT,"Includes roster of attendees, musical programme and menu.",Soete 194,1927-11-24T00:00:00Z,Alcatraz Island,,,complete,4,20.0,ILL.,ILL.
27170,,ALCATRAZ ISLAND,DINNER,,GENERAL MESS,6 1/2 X 4 1/2 IN. FOLD. ; ILL.,RELIGIOUS HOLIDAY,Christmas dinner. Includes menu and list of commanding officers and cooks.,Soete 195,1929-12-25T00:00:00Z,Alcatraz Island,Dollars,$,complete,4,25.0,ILL.,ILL.
27171,,NORTHERN PACIFIC RAILWAY,LUNCH,RAILROAD,,10 1/2 X 6 1/2 IN. FOLD. ; ILL.,,"Inserts : ""Plate Luncheon"" and ""Example Luncheons."" General Passenger Agent : C. C. Townsend. Superintendent Dining Cars : A. W. Thomson.  Passenger Traffic Manager : E. E. Nelson. Includes : ""Club Luncheon"" and a la carte menu options.  Illustrations : I",Soete 196,,Northern Pacific Railway,Dollars,$,complete,6,151.0,ILL.,ILL.
27172,,WABASH RAILWAY COMPANY,LUNCH,RAILROAD,,10 1/2 X 6 1/2 IN. FOLD. ; ILL.,,Advertisement : St. Louis Fruit Auction. Passenger Traffic Manager : H. E. Watts. Superintendent Dining Cars : G. M. Hart.,Soete 197,,Wabash Railway Company,Dollars,$,complete,5,88.0,ILL.,ILL.
27173,,GREAT NORTHERN RAILWAY,LUNCH,RAILROAD,,10 X 6 1/2 IN. FOLD. ; ILL. COL.,,"Illustration : ""Shot on Both Sides - Chief of the Blood Indians."" Illustrator : Attributed to Winold Reiss. Includes : menu ""for the little folks.""",Soete 200,,Great Northern Railway,Dollars,$,complete,3,133.0,ILL. COL.,ILL. COL.
27174,,NORTHERN PACIFIC RAILWAY,LUNCH,RAILROAD,,11 X 8 IN. FOLD. ; ILL.,,"Photographic illustration : ""Mount Ranier Trail Riders Near Sunrise Lodge."" North Coast Limited. Superintendent Dining Cars : A. W. Thompson. Passenger Traffic Manager : E. E. Nelson. Advertisement : Ranier National Park and U. S. Army Aviation Cadet.",Soete 203,,Northern Pacific Railway,Dollars,$,complete,4,94.0,ILL.,ILL.
27175,,SAN FRANCISCO CHAMBER OF COMMERCE,DINNER,,"CALIFORNIA BUILDING, PANAMA PACIFIC INTERNATIONAL EXPOSITION",10 X 5 IN. FOLD. ; ILL.,,Photographic illustration : California Building. Includes : menu and list of speakers. Menu printed on bark. Insert : list of songs with lyrics.,Soete 204,1915-03-19T00:00:00Z,San Francisco Chamber Of Commerce,,,complete,4,12.0,ILL.,ILL.
27176,,MIKE ROSENBERG,DINNER,,,2 1/2 X 6 IN. ; ILL.,,Manuscript menu written on verso of blank Bank of America Check.,Soete 205,1941-01-01T00:00:00Z,Mike Rosenberg,,,complete,2,8.0,ILL.,ILL.
27177,,PENNSYLVANIA RAILROAD,DINNER,RAILROAD,,7 X 4 1/2 IN. ; ILL.,,"Gen'l Supt. : John F. Finnegan. ""The direct route to New York World's Fair...Station on Fairgrounds."" Includes : ""The Trail Blazer Dinner.""",Soete 206,1939-01-01T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,1,49.0,ILL.,ILL.
27178,,PENNSYLVANIA RAILROAD,LUNCH,RAILROAD,,9 1/2 X 6 1/2 IN.,,"The Pennsylvania Limited. Passenger Traffic Manager : F. W. Conner. Superintendent, Dining Car Service : C. E. Milliron.",Soete 215,1932-01-01T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,2,102.0,9 1/2 X 6 1/2 IN.,9 1/2 X 6 1/2 IN.
27179,,PENNSYLVANIA RAILROAD,BREAKFAST,RAILROAD,,11 X 7 IN. ; ILL.,,"""St. Mary's College Galloping Gaels...enroute San Francsico to New York and Return.""",Soete 216,1937-11-18T00:00:00Z,Pennsylvania Railroad,,,complete,1,15.0,ILL.,ILL.
27180,,PENNSYLVANIA RAILROAD,BREAKFAST,RAILROAD,,11 X 7 IN. ; ILL.,,"General Superintendent, Dining Car Services : John F. Finnegan.",Soete 217,1938-01-16T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,1,72.0,ILL.,ILL.
27181,,PENNSYLVANIA RAILROAD,LUNCH,RAILROAD,,11 X 7 IN. ; ILL.,,"General Superintendent, Dining Car Services : John F. Finnegan. Includes list of liquors and cordials on verso.",Soete 218,1938-01-16T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,2,118.0,ILL.,ILL.
27182,,PENNSYLVANIA RAILROAD,DINNER,RAILROAD,,11 X 7 IN. ; ILL.,,"General Superintendent, Dining Car Services : John F. Finnegan. Includes : ""PRR"" Dinner menu and ""One Dollar Special.""",Soete 219,,Pennsylvania Railroad,Dollars,$,complete,2,145.0,ILL.,ILL.
27183,,PENNSYLVANIA RAILROAD,BREAKFAST,RAILROAD,,11 X 7 IN. ; ILL.,,"General Superintendent, Dining Car Service : John F. Finnegan. Advertisement : ""Buy U. S. War Bonds and Stamps for Victory.""",Soete 221,1942-01-01T00:00:00Z,Pennsylvania Railroad,Dollars,$,complete,1,65.0,ILL.,ILL.
27184,,PENNSYLVANIA RAILROAD,LUNCH,RAILROAD,,11 X 7 IN.,,"General Superintendent, Dining Car Service : John F. Finnegan. Includes : ""PRR Salad Bowl"" menu option.",Soete 223,,Pennsylvania Railroad,Dollars,$,complete,1,80.0,11 X 7 IN.,11 X 7 IN.
27185,,PENNSYLVANIA RAILROAD,BREAKFAST,RAILROAD,,11 X 7 IN.,,"General Superintendent, Dining Car Service : John F. Finnegan.",Soete 224,1939-01-01T00:00:00Z,Pennsylvania Railroad,Dollars,$,under review,1,84.0,11 X 7 IN.,11 X 7 IN.
27186,,PENNSYLVANIA RAILROAD,DAILY MENU,RAILROAD,,11 X 7 IN.,,"General Superintendent, Dining Car Service : John F. Finnegan. Advertisement on verso for The Luxury Fleet.",Soete 225,,Pennsylvania Railroad,Dollars,$,complete,2,63.0,11 X 7 IN.,11 X 7 IN.
